region name,Area code,Area name,Owned,Proportion Owned,Rented,Proportion Rented,Ratio
South West,E07000044,South Hams,1550,0.449927431,1895,0.550072569,12.56
South West,E07000045,Teignbridge,2790,0.4359375,3610,0.5640625,11.4
South West,E07000046,Torridge,1275,0.395962733,1945,0.604037267,10.34
South West,E07000047,West Devon,840,0.384439359,1345,0.615560641,11.96
South East,E07000061,Eastbourne,1720,0.285240464,4310,0.714759536,9.42
South East,E07000062,Hastings,1765,0.303004292,4060,0.696995708,10.78
South East,E07000063,Lewes,1690,0.402380952,2510,0.597619048,11.64
South East,E07000064,Rother,1520,0.422809458,2075,0.577190542,13.82
South East,E07000065,Wealden,3355,0.511823036,3200,0.488176964,13.76
East of England,E07000066,Basildon,5425,0.439627229,6915,0.560372771,10.36
East of England,E07000067,Braintree,4280,0.479551821,4645,0.520448179,10.6
East of England,E07000068,Brentwood,2230,0.506242906,2175,0.493757094,16.08
East of England,E07000069,Castle Point,2325,0.591603053,1605,0.408396947,12.37
East of England,E07000070,Chelmsford,5150,0.463755065,5955,0.536244935,11.78
East of England,E07000071,Colchester,5120,0.357417103,9205,0.642582897,10.38
East of England,E07000072,Epping Forest,2925,0.455252918,3500,0.544747082,15.42
East of England,E07000073,Harlow,2610,0.388104089,4115,0.611895911,11.03
East of England,E07000074,Maldon,1515,0.543010753,1275,0.456989247,13.18
East of England,E07000075,Rochford,2280,0.617886179,1410,0.382113821,12.22
East of England,E07000076,Tendring,3125,0.421727395,4285,0.578272605,9.28
East of England,E07000077,Uttlesford,1895,0.473158552,2110,0.526841448,13.4
South West,E07000078,Cheltenham,3275,0.326032852,6770,0.673967148,10.55
South West,E07000079,Cotswold,1570,0.368112544,2695,0.631887456,15.75
South West,E07000080,Forest of Dean,1930,0.451461988,2345,0.548538012,10.62
South West,E07000081,Gloucester,4095,0.401864573,6095,0.598135427,7.34
South West,E07000082,Stroud,2860,0.490145673,2975,0.509854327,10.27
South West,E07000083,Tewkesbury,2915,0.510061242,2800,0.489938758,9.15
South East,E07000084,Basingstoke and Deane,5380,0.434396447,7005,0.565603553,9.24
South East,E07000085,East Hampshire,2705,0.474145486,3000,0.525854514,14.51
South East,E07000086,Eastleigh,4430,0.514219385,4185,0.485780615,9.75
South East,E07000087,Fareham,2690,0.507547170,2610,0.492452830,10.74
South East,E07000088,Gosport,1955,0.375239923,3255,0.624760077,6.68
South East,E07000089,Hart,2385,0.521311475,2190,0.478688525,11.45
South East,E07000090,Havant,2905,0.434554974,3780,0.565445026,10.17
South East,E07000091,New Forest,3220,0.451929825,3905,0.548070175,12.52
